requirement_id,section,summary
R3.01,"3. High-level Architecture","The entire stack MUST be deployable via docker compose up from a single repository."
R3.02,"3. High-level Architecture","The system MUST sustain 100 concurrent heavy users (sending 1 message per 10 s on average, streaming responses, mixed RAG/Graph) on a 16-core / 32 GB host without visible UI lag (p95 server processing ≤ 500 ms excluding LLM roundtrip)."
R3.03,"3. High-level Architecture","All services MUST expose /healthz and /readyz HTTP probes for orchestration."
R3.04,"3. High-level Architecture","The system follows Domain-Driven Design with bounded contexts: Identity, Tenancy, Keys, Agents, Knowledge (RAG/GraphRAG), Conversation, Workflow, Audit, Notification, Skills. Each context owns its own modules/tables; cross-context communication goes through application services and domain events."
R5.01,"5. Roles, Scopes, and Permission Matrix","Admin is platform-level and NOT assignable through the UI; set via a bootstrap CLI or a seed_admins env list on first boot."
R5.02,"5. Roles, Scopes, and Permission Matrix","The Original Creator flag on an Org is a separate, immutable bit, orthogonal to OrgOwner. The Original Creator is always an Org Owner and cannot demote, leave, or be removed."
R5.03,"5. Roles, Scopes, and Permission Matrix","Individuals can create projects without an Org; such projects are owned by the Individual (owner_type = 'user'). Org Owners are automatically Project Owners on every project in their Org (OrgOwner → ProjectOwner inheritance is computed, not stored, to avoid drift)."
R5.04,"5. Roles, Scopes, and Permission Matrix","Guest is a per-Chat-Room access grant obtained via a guest link. A guest may be (a) an anonymous visitor who holds a chatroom-scoped session backed by a guest_sessions row and a guest JWT (token_use: ""guest_access"") without a user account, or (b) a registered Individual who enrolls via the legacy chatroom_guests path. Guest status is per-Chat-Room; a registered user who is a Guest in Room A may be a full member elsewhere. Anonymous guest sessions are scoped to a single chatroom; the JWT carries a chatroom_id claim enforced by the auth middleware and the room access check."
R5.06,"5. Roles, Scopes, and Permission Matrix","Member Group membership (§13.2a) is orthogonal to the role set. Like Guest, it is a per-resource grant evaluated by the chat-room access check, never a seventh role, and it confers no capability in the §5.2 matrix. The fixed role set of §5.1 is unchanged."
R5.05,"5. Roles, Scopes, and Permission Matrix","All authorization MUST be enforced server-side in a single permissions service. Frontend visibility is advisory only."
R6.01,"6. Identity & Access Management","Sign-up: email + password + CAPTCHA challenge (hCaptcha or Cloudflare Turnstile — Admin-configurable). Password policy: ≥ 10 chars, ≥ 1 letter, ≥ 1 digit, ≥ 1 symbol. Hashing: Argon2id (memory 64 MiB, time 3, parallelism 2). Argon2id is chosen over Bcrypt to avoid Bcrypt's 72-byte silent truncation and to get memory-hardness against GPU cracking."
R6.02,"6. Identity & Access Management","Email verification: user receives a verification token link; account is in pending state until verified. Unverified accounts cannot create Orgs/Projects nor accept project/org invites. Exception: anonymous guest-link access ([R5.04a]) requires no account and no email verification; the guest token in the URL is the sole credential. Verification tokens are delivered via GET /api/auth/verify-email?token=<b64url> (query form, magic-link pattern) and consumed server-side."
R6.03,"6. Identity & Access Management","Login returns:"
R6.04,"6. Identity & Access Management","Failed-login throttling: 5 attempts / 15 min / account + 20 attempts / 15 min / IP → 15 min lockout, audit logged."
R6.05,"6. Identity & Access Management","Password reset via emailed one-time token (valid 30 min, single-use)."
R6.06,"6. Identity & Access Management","Users can change their email (requires re-verification) and password (requires current password). A password change invalidates all existing refresh tokens of that user and denylists all currently-valid access tokens."
R6.07,"6. Identity & Access Management","Account self-deletion soft-deletes the account; the Admin can still recover within 60 days. Exception: if the user is the Original Creator of any Org with other active members, self-deletion is blocked until the Original-Creator role is transferred (see §8.5)."
R6.08,"6. Identity & Access Management","Session termination: user can revoke individual refresh tokens (""sessions"") from their profile page. Revoking a session also denylists the jti of any access token issued from that session's last refresh."
